BnB,HOA,_id,address,city,dollar_per_sqfeet,lat,location,long,price,property_type,redfin_link,sq_feet,state,year_built
5B5.5B,,5c0a464a6ee39237d843c830,95 Spacial,Irvine,462,33.683777,Estrella at Altair,-117.709147,2423195,Single-Family,http://www.redfin.com/CA/Irvine/95-Spacial-92618/home/148404984,5243,CA,2018.0
5B3.5B,152.0,5c0a464a6ee39237d843c831,97 Millbrook,Irvine,449,33.660234700000004,OC - Oak Creek,-117.77872659999998,1188000,Single-Family,http://www.redfin.com/CA/Irvine/97-Millbrook-92618/home/5766483,2648,CA,2000.0
5B5.5B,,5c0a464a6ee39237d843c832,97 Spacial,Irvine,461,33.683777,Estrella at Altair,-117.709147,2498195,Single-Family,http://www.redfin.com/CA/Irvine/97-Spacial-92618/home/148404983,5416,CA,2018.0
3B3.5B,263.0,5c0a464a6ee39237d843c833,99 Kestrel,Irvine,491,33.701874,PS - Portola Springs,-117.72911370000001,799000,Condo,http://www.redfin.com/CA/Irvine/99-Kestrel-92618/home/143914993,1628,CA,2015.0
5B5.5B,,5c0a464a6ee39237d843c834,99 Spacial,Irvine,471,33.684457,Estrella at Altair,-117.71046399999999,2538350,Single-Family,http://www.redfin.com/CA/Irvine/99-Spacial-92618/home/146170441,5390,CA,2018.0
5B5.5B,,5c0a464a6ee39237d843c835,Altamira,Irvine,448,33.683482299999994,Estrella at Altair,-117.7091578,2349995,Single-Family,http://www.redfin.com/CA/Irvine/Estrella-at-Altair/Altamira/home/146413677,5243,CA,
4B4.5B,,5c0a464a6ee39237d843c836,Ariel,Irvine,451,33.676854999999996,Alara at Altair,-117.70860900000001,1967995,Single-Family,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Ariel/home/142960945,4368,CA,
4B4.5B,,5c0a464a6ee39237d843c837,Ariel Elite,Irvine,432,33.676854999999996,Alara at Altair,-117.70860900000001,2109995,Single-Family,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Ariel-Elite/home/142960942,4881,CA,
5B5.5B,,5c0a464a6ee39237d843c838,Artemis,Irvine,464,33.68053,Solano at Altair,-117.70512,2179995,Single-Family,http://www.redfin.com/CA/Irvine/Solano-at-Altair/Artemis/home/147567460,4700,CA,
5B5.5B,,5c0a464a6ee39237d843c839,Atlas,Irvine,455,33.683572999999996,Meridian at Altair,-117.70928,1979995,Single-Family,http://www.redfin.com/CA/Irvine/Meridian-at-Altair/Atlas/home/142960948,4356,CA,
3B2.5B,,5c0a464a6ee39237d843c83a,Bellerose,Irvine,462,33.683667,Deco at Cadence Park,-117.720754,884910,Multi-Family,http://www.redfin.com/CA/Irvine/Deco-at-Cadence-Park/Bellerose/home/148128635,1916,CA,
5B5.5B,,5c0a464a6ee39237d843c83b,Bianca,Irvine,458,33.68053,Solano at Altair,-117.70512,2199995,Single-Family,http://www.redfin.com/CA/Irvine/Solano-at-Altair/Bianca/home/147567459,4800,CA,
5B5.5B,,5c0a464a6ee39237d843c83c,Callisto,Irvine,445,33.683482299999994,Estrella at Altair,-117.7091578,2409995,Single-Family,http://www.redfin.com/CA/Irvine/Estrella-at-Altair/Callisto/home/146286845,5416,CA,
5B5.5B,,5c0a464a6ee39237d843c83d,Calypso,Irvine,438,33.676854999999996,Alara at Altair,-117.70860900000001,2030995,Single-Family,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Calypso/home/142960944,4633,CA,
5B5.5B,,5c0a464a6ee39237d843c83e,Calypso Elite,Irvine,427,33.676854999999996,Alara at Altair,-117.70860900000001,2223995,Single-Family,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Calypso-Elite/home/142960941,5212,CA,
3B2.5B,,5c0a464a6ee39237d843c83f,Eden,Irvine,369,33.682448,Cabaletta at Cadence Park,-117.72191799999999,859990,Single-Family,http://www.redfin.com/CA/Irvine/Cabaletta-at-Cadence-Park/Eden/home/148305568,2330,CA,
4B3.0B,,5c0a464a6ee39237d843c840,Evelyn,Irvine,391,33.682448,Cabaletta at Cadence Park,-117.72191799999999,949990,Single-Family,http://www.redfin.com/CA/Irvine/Cabaletta-at-Cadence-Park/Evelyn/home/148172217,2430,CA,
5B5.5B,,5c0a464a6ee39237d843c841,Helios,Irvine,431,33.683572999999996,Meridian at Altair,-117.70928,1889995,Single-Family,http://www.redfin.com/CA/Irvine/Meridian-at-Altair/Helios/home/144425960,4383,CA,
4B3.0B,,5c0a464a6ee39237d843c842,Laclaire,Irvine,477,33.691521,Juniper at Portola Springs,-117.70953700000001,950000,Single-Family,http://www.redfin.com/CA/Irvine/Juniper-at-Portola-Springs/Laclaire/home/144826359,1990,CA,
4B4.0B,,5c0a464a6ee39237d843c843,Lacy,Irvine,463,33.691521,Juniper at Portola Springs,-117.70953700000001,1086000,Single-Family,http://www.redfin.com/CA/Irvine/Juniper-at-Portola-Springs/Lacy/home/144871210,2345,CA,
4B4.0B,,5c0a464a6ee39237d843c844,Lucille,Irvine,466,33.691521,Juniper at Portola Springs,-117.70953700000001,1119000,Single-Family,http://www.redfin.com/CA/Irvine/Juniper-at-Portola-Springs/Lucille/home/144841455,2400,CA,
5B5.5B,,5c0a464a6ee39237d843c845,Luna,Irvine,426,33.683572999999996,Meridian at Altair,-117.70928,1939995,Single-Family,http://www.redfin.com/CA/Irvine/Meridian-at-Altair/Luna/home/144425959,4556,CA,
4B3.5B,,5c0a464a6ee39237d843c846,Metropolis,Irvine,424,33.683667,Deco at Cadence Park,-117.720754,911430,Multi-Family,http://www.redfin.com/CA/Irvine/Deco-at-Cadence-Park/Metropolis/home/148128634,2151,CA,
4B3.5B,,5c0a464a6ee39237d843c847,Muse Plan 1,Irvine,421,33.638998,Muse at Cadence Park,-117.72009299999999,802244,Condo,http://www.redfin.com/CA/Irvine/Muse-at-Cadence-Park/Muse-Plan-1/home/145409293,1907,CA,
3B3.5B,,5c0a464a6ee39237d843c848,Muse Plan 2,Irvine,421,33.638998,Muse at Cadence Park,-117.72009299999999,813935,Condo,http://www.redfin.com/CA/Irvine/Muse-at-Cadence-Park/Muse-Plan-2/home/145409292,1933,CA,
3B3.5B,,5c0a464a6ee39237d843c849,Muse Plan 3,Irvine,431,33.638998,Muse at Cadence Park,-117.72009299999999,856117,Condo,http://www.redfin.com/CA/Irvine/Muse-at-Cadence-Park/Muse-Plan-3/home/145409291,1986,CA,
3B2.5B,,5c0a464a6ee39237d843c84a,Plan 1X,Irvine,379,33.680640000000004,Duet at Cadence Park,-117.72344199999999,1069880,Single-Family,http://www.redfin.com/CA/Irvine/Duet-at-Cadence-Park/Plan-1X/home/145255598,2820,CA,
4B4.5B,,5c0a464a6ee39237d843c84b,Plan 2X,Irvine,376,33.680640000000004,Duet at Cadence Park,-117.72344199999999,1090880,Single-Family,http://www.redfin.com/CA/Irvine/Duet-at-Cadence-Park/Plan-2X/home/145255597,2900,CA,
3B2.5B,,5c0a464a6ee39237d843c84c,Pontiac,Irvine,449,33.683667,Deco at Cadence Park,-117.720754,918750,Multi-Family,http://www.redfin.com/CA/Irvine/Deco-at-Cadence-Park/Pontiac/home/148128631,2047,CA,
3B3.5B,,5c0a464a6ee39237d843c84d,Residence 1,Irvine,536,33.6826,Altair Irvine - Lumiere,-117.71600000000001,1859990,Single-Family,http://www.redfin.com/CA/Irvine/Altair-Irvine-Lumiere/Residence-1/home/147279710,3471,CA,
2B2.0B,,5c0a464a6ee39237d843c84e,Residence 1,Irvine,484,33.68091,Travata - Aldea at Travata,-117.7718375,685990,Multi-Family,http://www.redfin.com/CA/Irvine/Travata-Aldea-at-Travata/Residence-1/home/146746631,1417,CA,
